2012,340,2013-04-11,12th Match,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bowl,Muttiah Muralitharan,Chris Gayle,AB de Villiers,RP Singh,Virat Kohli,Moises Henriques,Vinay Kumar,Arun Karthik,Mayank Agarwal,Jaydev Unadkat,Lokesh Rahul,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Pradeep Sangwan,Ryan McLaren,Manvinder Bisla,Sunil Narine,Royal Challengers Bangalore,,8

2012,341,2013-04-11,13th Match,Pune Warriors,Rajasthan Royals,Pune,Maharashtra Cricket Association Stadium,Rajasthan Royals,bat,Yuvraj Singh,Ross Taylor,Robin Uthappa,Abhishek Nayar,Ashok Dinda,Angelo Mathews,Aaron Finch,Bhuvneshwar Kumar,Tirumalsetti Suman,Mitchell Marsh,Rahul Sharma,Rahul Dravid,Brad Hodge,S Sreesanth,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,Kevon Cooper,James Faulkner,Dishant Yagnik,Kusal Perera,Harmeet Singh,Pune Warriors,,7

2012,342,2013-04-12,14th Match,Delhi Daredevils,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,Delhi Daredevils,bat,Virender Sehwag,Irfan Pathan,Mahela Jayawardene,Johan Botha,Morne Morkel,David Warner,Siddarth Kaul,Kedar Jadhav,Umesh Yadav,Shahbaz Nadeem,Manprit Juneja,Parthiv Patel,Kumar Sangakkara,Cameron White,Dale Steyn,Ishant Sharma,Amit Mishra,Thisara Perera,Ashish Reddy,Anand Rajan,Akshath Reddy,Hanuma Vihari,Sunrisers Hyderabad,,3

2012,343,2013-04-13,15th Match,Mumbai Indians,Pune Warriors,Mumbai,Wankhede Stadium,Mumbai Indians,bat,Sachin Tendulkar,Ricky Ponting,Harbhajan Singh,Lasith Malinga,Dinesh Karthik,Mitchell Johnson,Rohit Sharma,Kieron Pollard,Pragyan Ojha,Ambati Rayudu,Rishi Dhawan,Yuvraj Singh,Ross Taylor,Robin Uthappa,Abhishek Nayar,Ashok Dinda,Angelo Mathews,Aaron Finch,Bhuvneshwar Kumar,Tirumalsetti Suman,Mitchell Marsh,Rahul Sharma,Mumbai Indians,41,

2012,344,2013-04-13,16th Match,Chennai Super Kings,Royal Challengers Bangalore,Chennai,MA Chidambaram Stadium,Chennai Super Kings,bowl,Dwayne Bravo,MS Dhoni,Suresh Raina,S Badrinath,Ravindra Jadeja,Ravichandran Ashwin,Murali Vijay,Dirk Nannes,Michael Hussey,Mohit Sharma,Chris Morris,Chris Gayle,Murali Kartik,AB de Villiers,RP Singh,Virat Kohli,Vinay Kumar,Arun Karthik,Mayank Agarwal,Ravi Rampaul,Daniel Christian,JS Mohammad,Chennai Super Kings,,4

2012,345,2013-04-14,17th Match,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,Kolkata Knight Riders,bat,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Laxmi Shukla,Manvinder Bisla,Sunil Narine,Sachithra Senanayake,Parthiv Patel,Kumar Sangakkara,Cameron White,Dale Steyn,Ishant Sharma,Amit Mishra,Dwaraka Ravi Teja,Karn Sharma,Thisara Perera,Ashish Reddy,Hanuma Vihari,Kolkata Knight Riders,48,

2012,346,2013-04-14,18th Match,Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bowl,Rahul Dravid,Shane Watson,Brad Hodge,S Sreesanth,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,Kevon Cooper,James Faulkner,Ajit Chandila,Sanju Samson,Adam Gilchrist,Azhar Mahmood,Piyush Chawla,David Hussey,Praveen Kumar,Ryan Harris,Rajagopal Sathish,Mandeep Singh,Parvinder Awana,Gurkeerat Singh Mann,Manan Vohra,Rajasthan Royals,,6

2012,347,2013-04-15,19th Match,Chennai Super Kings,Pune Warriors,Chennai,MA Chidambaram Stadium,Pune Warriors,bat,Dwayne Bravo,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Ravindra Jadeja,Ravichandran Ashwin,Murali Vijay,Dirk Nannes,Srikkanth Anirudha,Chris Morris,Ross Taylor,Robin Uthappa,Abhishek Nayar,Ashok Dinda,Aaron Finch,Bhuvneshwar Kumar,Manish Pandey,Tirumalsetti Suman,Steven Smith,Mitchell Marsh,Rahul Sharma,Pune Warriors,24,

2012,348,2013-04-16,20th Match,Kings XI Punjab,Kolkata Knight Riders,Mohali,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,bowl,Adam Gilchrist,Azhar Mahmood,Piyush Chawla,David Hussey,Praveen Kumar,Manpreet Gony,Mandeep Singh,David Miller,Parvinder Awana,Gurkeerat Singh Mann,Manan Vohra,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Debabrata Das,Manvinder Bisla,Sunil Narine,Sachithra Senanayake,Kings XI Punjab,4,

2012,349,2013-04-16,21st Match,Royal Challengers Bangalore,Delhi Daredevils,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bowl,Chris Gayle,AB de Villiers,RP Singh,Virat Kohli,Vinay Kumar,Andrew McDonald,Arun Karthik,Ravi Rampaul,Jaydev Unadkat,JS Mohammad,Lokesh Rahul,Virender Sehwag,Irfan Pathan,Mahela Jayawardene,Ashish Nehra,Morne Morkel,David Warner,Kedar Jadhav,Umesh Yadav,Ben Rohrer,Shahbaz Nadeem,Manprit Juneja,False,False,False

2012,350,2013-04-17,22nd Match,Pune Warriors,Sunrisers Hyderabad,Pune,Maharashtra Cricket Association Stadium,Pune Warriors,bowl,Robin Uthappa,Abhishek Nayar,Ashok Dinda,Angelo Mathews,Aaron Finch,Bhuvneshwar Kumar,Manish Pandey,Tirumalsetti Suman,Steven Smith,Mitchell Marsh,Rahul Sharma,Parthiv Patel,Cameron White,Dale Steyn,Ishant Sharma,Amit Mishra,Karn Sharma,Thisara Perera,Ashish Reddy,Biplab Samantray,Hanuma Vihari,Quinton de Kock,Sunrisers Hyderabad,11,

2012,351,2013-04-17,23rd Match,Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rahul Dravid,Shane Watson,Brad Hodge,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,Kevon Cooper,Ankeet Chavan,James Faulkner,Dishant Yagnik,Ajit Chandila,Sachin Tendulkar,Ricky Ponting,Harbhajan Singh,Lasith Malinga,Dinesh Karthik,Mitchell Johnson,Rohit Sharma,Kieron Pollard,Pragyan Ojha,Ambati Rayudu,Rishi Dhawan,Rajasthan Royals,87,

2012,352,2013-04-18,24th Match,Delhi Daredevils,Chennai Super Kings,Delhi,Feroz Shah Kotla,Chennai Super Kings,bat,Virender Sehwag,Irfan Pathan,Mahela Jayawardene,Ajit Agarkar,Morne Morkel,David Warner,Kedar Jadhav,Umesh Yadav,Jeevan Mendis,Shahbaz Nadeem,Manprit Juneja,Dwayne Bravo,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Ravindra Jadeja,Ravichandran Ashwin,Murali Vijay,Michael Hussey,Mohit Sharma,Chris Morris,Chennai Super Kings,86,

2012,353,2013-04-19,25th Match,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,Rajiv Gandhi International Stadium,Kings XI Punjab,bat,Cameron White,Dale Steyn,Ishant Sharma,Amit Mishra,Karn Sharma,Thisara Perera,Ashish Reddy,Akshath Reddy,Biplab Samantray,Hanuma Vihari,Quinton de Kock,Adam Gilchrist,Azhar Mahmood,Piyush Chawla,David Hussey,Praveen Kumar,Dimitri Mascarenhas,Manpreet Gony,Paul Valthaty,Mandeep Singh,Gurkeerat Singh Mann,Manan Vohra,Sunrisers Hyderabad,,5

2012,354,2013-04-20,26th Match,Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,Kolkata Knight Riders,bat,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Laxmi Shukla,Debabrata Das,Sunil Narine,Sachithra Senanayake,Dwayne Bravo,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Ravindra Jadeja,Ravichandran Ashwin,Murali Vijay,Michael Hussey,Mohit Sharma,Chris Morris,Chennai Super Kings,,4

2012,355,2013-04-20,27th Match,Royal Challengers Bangalore,Rajasthan Royals,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bowl,Tillakaratne Dilshan,Chris Gayle,Murali Kartik,AB de Villiers,RP Singh,Virat Kohli,Vinay Kumar,Saurabh Tiwary,Arun Karthik,Ravi Rampaul,Jaydev Unadkat,Rahul Dravid,Shane Watson,Brad Hodge,Shaun Tait,S Sreesanth,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,James Faulkner,Dishant Yagnik,Ajit Chandila,Royal Challengers Bangalore,,7

2012,356,2013-04-21,28th Match,Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,Mumbai Indians,bat,Virender Sehwag,Irfan Pathan,Mahela Jayawardene,Ajit Agarkar,Venugopal Rao,Roelof van der Merwe,David Warner,Kedar Jadhav,Umesh Yadav,Andre Russell,Shahbaz Nadeem,Sachin Tendulkar,Ricky Ponting,Harbhajan Singh,Lasith Malinga,Dinesh Karthik,Dwayne Smith,Munaf Patel,Rohit Sharma,Kieron Pollard,Ambati Rayudu,Jasprit Bumrah,Delhi Daredevils,,9

2012,357,2013-04-21,29th Match,Kings XI Punjab,Pune Warriors,Mohali,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,bowl,Adam Gilchrist,Azhar Mahmood,Piyush Chawla,David Hussey,Praveen Kumar,Manpreet Gony,Mandeep Singh,David Miller,Parvinder Awana,Gurkeerat Singh Mann,Manan Vohra,Yuvraj Singh,Robin Uthappa,Mithun Manhas,Luke Wright,Ajantha Mendis,Abhishek Nayar,Ashok Dinda,Aaron Finch,Bhuvneshwar Kumar,Steven Smith,Rahul Sharma,Kings XI Punjab,,7

2012,358,2013-04-22,30th Match,Chennai Super Kings,Rajasthan Royals,Chennai,MA Chidambaram Stadium,Rajasthan Royals,bat,Dwayne Bravo,MS Dhoni,Suresh Raina,S Badrinath,Ravindra Jadeja,Ravichandran Ashwin,Murali Vijay,Michael Hussey,Mohit Sharma,Jason Holder,Chris Morris,Rahul Dravid,Shane Watson,Brad Hodge,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,Kevon Cooper,James Faulkner,Dishant Yagnik,Ajit Chandila,Rahul Shukla,Chennai Super Kings,,5

2012,359,2013-04-23,31st Match,Royal Challengers Bangalore,Pune Warriors,Bengaluru,M.Chinnaswamy Stadium,Pune Warriors,bowl,Tillakaratne Dilshan,Chris Gayle,Murali Kartik,AB de Villiers,RP Singh,Virat Kohli,Vinay Kumar,Saurabh Tiwary,Arun Karthik,Ravi Rampaul,Jaydev Unadkat,Yuvraj Singh,Robin Uthappa,Mithun Manhas,Luke Wright,Ashok Dinda,Aaron Finch,Bhuvneshwar Kumar,Steven Smith,Mitchell Marsh,Ali Murtaza,Ishwar Pandey,Royal Challengers Bangalore,130,

2012,360,2013-04-23,32nd Match,Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,Kings XI Punjab,bowl,Virender Sehwag,Irfan Pathan,Mahela Jayawardene,Ajit Agarkar,Ashish Nehra,Johan Botha,Roelof van der Merwe,David Warner,Kedar Jadhav,Umesh Yadav,Manprit Juneja,Adam Gilchrist,Piyush Chawla,David Hussey,Praveen Kumar,Luke Pomersbach,Harmeet Singh,Mandeep Singh,David Miller,Bhargav Bhatt,Parvinder Awana,Manan Vohra,Kings XI Punjab,,5

