2011,190,2011-04-15,12th match,Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,Kolkata Knight Riders,bowl,Rahul Dravid,Shane Warne,Shane Watson,Johan Botha,Ross Taylor,Siddharth Trivedi,Amit Singh,Abhishek Raut,Amit Paunikar,Nayan Doshi,Ashok Menaria,Brett Lee,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Shakib Al Hasan,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Iqbal Abdulla,Manvinder Bisla,Kolkata Knight Riders,,9
2011,191,2011-04-15,13th match,Mumbai Indians,Kochi Tuskers Kerala,Mumbai,Wankhede Stadium,Kochi Tuskers Kerala,bowl,Sachin Tendulkar,Andrew Symonds,Harbhajan Singh,Lasith Malinga,Munaf Patel,Rohit Sharma,Kieron Pollard,Ali Murtaza,Ambati Rayudu,Rajagopal Sathish,Davy Jacobs,Parthiv Patel,Mahela Jayawardene,Brendon McCullum,Brad Hodge,RP Singh,Ramesh Powar,Ravindra Jadeja,Vinay Kumar,Kedar Jadhav,Raiphi Gomez,Thisara Perera,Kochi Tuskers Kerala,,8
2011,192,2011-04-16,14th match,Chennai Super Kings,Royal Challengers Bangalore,Chennai,MA Chidambaram Stadium,Chennai Super Kings,bat,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Tim Southee,Ravichandran Ashwin,Murali Vijay,Srikkanth Anirudha,Shadab Jakati,Suraj Randiv,Michael Hussey,Zaheer Khan,Tillakaratne Dilshan,Daniel Vettori,AB de Villiers,Johan van der Wath,Virat Kohli,Cheteshwar Pujara,Saurabh Tiwary,Ryan Ninan,Mayank Agarwal,Asad Pathan,Chennai Super Kings,21,
2011,193,2011-04-16,15th match,Deccan Chargers,Kings XI Punjab,Hyderabad,Rajiv Gandhi International Stadium,Kings XI Punjab,bowl,Kumar Sangakkara,Jean-Paul Duminy,Dale Steyn,Ishant Sharma,Manpreet Gony,Shikhar Dhawan,Amit Mishra,Dwaraka Ravi Teja,Bharath Chipli,Sunny Sohal,Daniel Christian,Adam Gilchrist,Dinesh Karthik,Piyush Chawla,Shaun Marsh,Praveen Kumar,Ryan Harris,Abhishek Nayar,Ryan McLaren,Paul Valthaty,Sunny Singh,Vikramjeet Singh Malik,Kings XI Punjab,,8
2011,194,2011-04-17,16th match,Pune Warriors,Delhi Daredevils,Mumbai,Dr DY Patil Sports Academy,Delhi Daredevils,bowl,Yuvraj Singh,Graeme Smith,Alfonso Thomas,Robin Uthappa,Jesse Ryder,Mithun Manhas,Wayne Parnell,Shrikant Wagh,Abhishek Jhunjhunwala,Mohnish Mishra,Rahul Sharma,Virender Sehwag,Irfan Pathan,James Hopes,Venugopal Rao,Ashok Dinda,Naman Ojha,Aaron Finch,Matthew Wade,David Warner,Umesh Yadav,Shahbaz Nadeem,Delhi Daredevils,,3
2011,195,2011-04-17,17th match,Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,Kolkata Knight Riders,bowl,Brett Lee,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Shakib Al Hasan,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Iqbal Abdulla,Manvinder Bisla,Shane Warne,Shane Watson,Shaun Tait,Ross Taylor,Ajinkya Rahane,Siddharth Trivedi,Faiz Fazal,Amit Singh,Abhishek Raut,Amit Paunikar,Ashok Menaria,Kolkata Knight Riders,,8
2011,196,2011-04-18,18th match,Kochi Tuskers Kerala,Chennai Super Kings,Kochi,Nehru Stadium,Kochi Tuskers Kerala,bowl,Parthiv Patel,Mahela Jayawardene,Brendon McCullum,Brad Hodge,RP Singh,Ramesh Powar,Ravindra Jadeja,Vinay Kumar,Kedar Jadhav,Raiphi Gomez,Thisara Perera,MS Dhoni,Suresh Raina,Albie Morkel,Doug Bollinger,S Badrinath,Tim Southee,Ravichandran Ashwin,Murali Vijay,Srikkanth Anirudha,Shadab Jakati,Michael Hussey,Kochi Tuskers Kerala,,7
2011,197,2011-04-19,19th match,Delhi Daredevils,Deccan Chargers,Delhi,Feroz Shah Kotla,Deccan Chargers,bat,Virender Sehwag,Irfan Pathan,James Hopes,Venugopal Rao,Morne Morkel,Ashok Dinda,Naman Ojha,Aaron Finch,David Warner,Yogesh Nagar,Shahbaz Nadeem,Kumar Sangakkara,Cameron White,Dale Steyn,Pragyan Ojha,Shikhar Dhawan,Amit Mishra,Dwaraka Ravi Teja,Bharath Chipli,Sunny Sohal,Harmeet Singh,Daniel Christian,Deccan Chargers,16,
2011,199,2011-04-20,21st match,Mumbai Indians,Pune Warriors,Mumbai,Wankhede Stadium,Pune Warriors,bat,Sachin Tendulkar,Andrew Symonds,Lasith Malinga,James Franklin,Munaf Patel,Rohit Sharma,Kieron Pollard,Ali Murtaza,Ambati Rayudu,Rajagopal Sathish,Abu Nechim,Yuvraj Singh,Murali Kartik,Alfonso Thomas,Robin Uthappa,Jesse Ryder,Mithun Manhas,Wayne Parnell,Tim Paine,Shrikant Wagh,Mohnish Mishra,Rahul Sharma,Mumbai Indians,,7
2011,200,2011-04-20,22nd match,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata,Eden Gardens,Kolkata Knight Riders,bowl,Brett Lee,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Shakib Al Hasan,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Iqbal Abdulla,Manvinder Bisla,Parthiv Patel,Mahela Jayawardene,Muttiah Muralitharan,Brendon McCullum,Brad Hodge,RP Singh,Ramesh Powar,Ravindra Jadeja,Vinay Kumar,Kedar Jadhav,Raiphi Gomez,Kochi Tuskers Kerala,6,
