m_id,year,date,match_no,team1,team2,city,venue,toss_winner,toss_decision,t1_p1,t1_p2,t1_p3,t1_p4,t1_p5,t1_p6,t1_p7,t1_p8,t1_p9,t1_p10,t1_p11,t2_p1,t2_p2,t2_p3,t2_p4,t2_p5,t2_p6,t2_p7,t2_p8,t2_p9,t2_p10,t2_p11,winner,win_runs,win_wicket
2008,8,23-04-2008,8th match,Chennai Super Kings,Mumbai Indians,Chennai,MA Chidambaram Stadium,Mumbai Indians,bowl,Jacob Oram,Parthiv Patel,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Joginder Sharma,Suresh Raina,S Badrinath,Manpreet Gony,Palani Amarnath,Michael Hussey,Harbhajan Singh,Sanath Jayasuriya,Shaun Pollock,Dwayne Bravo,Ashish Nehra,Robin Uthappa,Luke Ronchi,Dhawal Kulkarni,Abhishek Nayar,Musavir Khote,Vikrant Yeligati,Chennai Super Kings,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,9,24-04-2008,9th match,Deccan Chargers,Rajasthan Royals,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,bowl,VVS Laxman,Adam Gilchrist,Andrew Symonds,Chaminda Vaas,Shahid Afridi,RP Singh,Rohit Sharma,Pragyan Ojha,Arjun Yadav,Sanjay Bangar,Doddapaneni Kalyankrishna,Mohammad Kaif,Kamran Akmal,Shane Warne,Shane Watson,Graeme Smith,Munaf Patel,Ravindra Jadeja,Yusuf Pathan,Siddharth Trivedi,Dinesh Salunkhe,Pankaj Singh,Rajasthan Royals,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,10,25-04-2008,10th match,Kings XI Punjab,Mumbai Indians,Mohali,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,bowl,Brett Lee,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Ramnaresh Sarwan,Vikram Singh,S Sreesanth,Piyush Chawla,Karan Goel,Sunny Sohal,Harbhajan Singh,Sanath Jayasuriya,Shaun Pollock,Dwayne Bravo,Ashish Nehra,Robin Uthappa,Luke Ronchi,Dhawal Kulkarni,Abhishek Nayar,Saurabh Tiwary,Musavir Khote,Kings XI Punjab,66,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,11,26-04-2008,11th match,Chennai Super Kings,Kolkata Knight Riders,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Jacob Oram,Parthiv Patel,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Joginder Sharma,Suresh Raina,S Badrinath,Manpreet Gony,Palani Amarnath,Michael Hussey,Sourav Ganguly,Ricky Ponting,Ajit Agarkar,Brendon McCullum,Murali Kartik,Mohammad Hafeez,David Hussey,Ishant Sharma,Wriddhiman Saha,Ashok Dinda,Laxmi Shukla,Chennai Super Kings,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,12,26-04-2008,12th match,Royal Challengers Bangalore,Rajasthan Royals,Bengaluru,M.Chinnaswamy Stadium,Rajasthan Royals,bowl,Rahul Dravid,Zaheer Khan,Anil Kumble,Mark Boucher,Jacques Kallis,Shivnarine Chanderpaul,Ross Taylor,Praveen Kumar,Virat Kohli,Vinay Kumar,Sunil Joshi,Mohammad Kaif,Shane Warne,Shane Watson,Graeme Smith,Munaf Patel,Ravindra Jadeja,Yusuf Pathan,Sohail Tanvir,Siddharth Trivedi,Mahesh Rawat,Dinesh Salunkhe,Rajasthan Royals,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,13,27-04-2008,13th match,Kings XI Punjab,Delhi Daredevils,Mohali,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bat,Brett Lee,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Simon Katich,Vikram Singh,S Sreesanth,Piyush Chawla,Tanmay Srivastava,Karan Goel,Virender Sehwag,Shoaib Malik,Glenn McGrath,Farveez Maharoof,Dinesh Karthik,Gautam Gambhir,Mohammad Asif,Manoj Tiwary,Shikhar Dhawan,Rajat Bhatia,Yo Mahesh,Kings XI Punjab,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,14,27-04-2008,14th match,Mumbai Indians,Deccan Chargers,Mumbai,Dr DY Patil Sports Academy,Deccan Chargers,bowl,Sanath Jayasuriya,Shaun Pollock,Dwayne Bravo,Ashish Nehra,Robin Uthappa,Luke Ronchi,Ajinkya Rahane,Dhawal Kulkarni,Abhishek Nayar,Siddharth Chitnis,Musavir Khote,VVS Laxman,Adam Gilchrist,Andrew Symonds,Nuwan Zoysa,Shahid Afridi,RP Singh,Rohit Sharma,Pragyan Ojha,Arjun Yadav,Sanjay Bangar,Doddapaneni Kalyankrishna,Deccan Chargers,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,15,28-04-2008,15th match,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M.Chinnaswamy Stadium,Chennai Super Kings,bat,Rahul Dravid,Zaheer Khan,Mark Boucher,Jacques Kallis,Wasim Jaffer,Dale Steyn,Ross Taylor,Praveen Kumar,Virat Kohli,Balachandra Akhil,Bharath Chipli,Jacob Oram,Parthiv Patel,Matthew Hayden,MS Dhoni,Joginder Sharma,Suresh Raina,Albie Morkel,S Badrinath,Manpreet Gony,Palani Amarnath,Michael Hussey,Chennai Super Kings,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,16,29-04-2008,16th match,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,Kolkata Knight Riders,bat,Sourav Ganguly,Ricky Ponting,Ajit Agarkar,Brendon McCullum,Murali Kartik,Mohammad Hafeez,David Hussey,Ishant Sharma,Ashok Dinda,Laxmi Shukla,Debabrata Das,Sanath Jayasuriya,Shaun Pollock,Dilhara Fernando,Dwayne Bravo,Ashish Nehra,Robin Uthappa,Ajinkya Rahane,Dhawal Kulkarni,Abhishek Nayar,Manish Pandey,Pinal Shah,Mumbai Indians,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,17,30-04-2008,17th match,Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,Royal Challengers Bangalore,bowl,Virender Sehwag,Shoaib Malik,Glenn McGrath,Dinesh Karthik,Daniel Vettori,Gautam Gambhir,Mohammad Asif,Manoj Tiwary,Shikhar Dhawan,Rajat Bhatia,Yo Mahesh,Rahul Dravid,Zaheer Khan,Mark Boucher,Jacques Kallis,Wasim Jaffer,Dale Steyn,Ross Taylor,Praveen Kumar,Virat Kohli,Vinay Kumar,Sunil Joshi,Delhi Daredevils,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,18,01-05-2008,18th match,Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bat,Mohammad Kaif,Shane Warne,Shane Watson,Graeme Smith,Munaf Patel,Ravindra Jadeja,Yusuf Pathan,Sohail Tanvir,Swapnil Asnodkar,Siddharth Trivedi,Mahesh Rawat,Sourav Ganguly,Salman Butt,Ajit Agarkar,Brad Hodge,Umar Gul,David Hussey,Ishant Sharma,Wriddhiman Saha,Ashok Dinda,Laxmi Shukla,Debabrata Das,Rajasthan Royals,45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
