2018,645,2018-04-07,1st Match,Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,Chennai Super Kings,bowl,Rohit Sharma (c),Evin Lewis,Ishan Kishan (wk),Suryakumar Yadav,Hardik Pandya,Krunal Pandya,Kieron Pollard, Mayank Markande, Mitchell McClenaghan, Mustafizur Rahman, Jasprit Bumrah,Shane Watson,Ambati Rayudu,Suresh Raina,Kedar Jadhav,MS Dhoni (c & wk),Ravindra Jadeja,Dwayne Bravo,Deepak Chahar,Harbhajan Singh,Mark Wood,Imran Tahir,Chennai Super Kings,,1
2018,646,2018-04-08,2nd Match,Kings XI Punjab,Delhi Daredevils,Mohali,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,bowl,Colin Munro,Gautam Gambhir (c),Shreyas Iyer,Vijay Shankar,Rishabh Pant (wk),Rahul Tewatia,Chris Morris,Daniel Christian,Amit Mishra, Trent Boult, Mohammed Shami,Lokesh Rahul (wk),Mayank Agarwal,Yuvraj Singh,Karun Nair,David Miller,Marcus Stoinis,Axar Patel, Ravichandran Ashwin, Andrew Tye, Mohit Sharma, Mujeeb Ur Rahman,Kings XI Punjab,,6
2018,647,2018-04-08,3rd Match,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,Kolkata Knight Riders,bowl,Brendon McCullum,Quinton de Kock (wk),Virat Kohli (c),AB de Villiers,Sarfaraz Khan,Mandeep Singh,Chris Woakes,Washington Sundar,Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal,Sunil Narine,Chris Lynn,Robin Uthappa,Nitish Rana,Dinesh Karthik (c & wk),Rinku Singh,Andre Russell,Vinay Kumar,Piyush Chawla, Mitchell Johnson, Kuldeep Yadav,Kolkata Knight Riders,,4
2018,648,2018-04-09,4th Match,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bowl,Ajinkya Rahane (c),D Arcy Short,Sanju Samson,Ben Stokes,Rahul Tripathi,Jos Buttler (wk),Krishnappa Gowtham,Shreyas Gopal,Dhawal Kulkarni,Jaydev Unadkat,Ben Laughlin,Wriddhiman Saha (wk),Shikhar Dhawan,Kane Williamson (c),Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul,Sunrisers Hyderabad,,9
2018,649,2018-04-10,5th Match,Chennai Super Kings,Kolkata Knight Riders,Chennai,MA Chidambaram Stadium,Chennai Super Kings,bowl,Chris Lynn,Sunil Narine,Robin Uthappa,Nitish Rana,Dinesh Karthik (c & wk),Rinku Singh,Andre Russell,Tom Curran,Vinay Kumar, Piyush Chawla, Kuldeep Yadav,Shane Watson,Ambati Rayudu,Suresh Raina,MS Dhoni (c & wk),Sam Billings,Ravindra Jadeja,Dwayne Bravo,Deepak Chahar, Harbhajan Singh, Imran Tahir, Shardul Thakur,Chennai Super Kings,,5
2018,650,2018-04-11,6th Match,Rajasthan Royals,Delhi Daredevils,Jaipur,Sawai Mansingh Stadium,Delhi Daredevils,bowl,Ajinkya Rahane (c),D Arcy Short,Ben Stokes,Sanju Samson,Jos Buttler (wk),Rahul Tripathi,Krishnappa Gowtham,Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin,Glenn Maxwell,Colin Munro,Rishabh Pant (wk),Chris Morris,Vijay Shankar,Shreyas Iyer,Gautam Gambhir, Rahul Tewatia, Shahbaz Nadeem, Trent Boult, Mohammed Shami,Rajasthan Royals,10,
2018,651,2018-04-12,7th Match,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bowl,Rohit Sharma (c),Evin Lewis,Ishan Kishan (wk),Suryakumar Yadav,Krunal Pandya,Kieron Pollard,Ben Cutting,Pradeep Sangwan,Mayank Markande,Jasprit Bumrah,Mustafizur Rahman,Wriddhiman Saha (wk),Shikhar Dhawan,Kane Williamson (c),Manish Pandey,Shakib Al Hasan,Deepak Hooda,Yusuf Pathan,Rashid Khan,Siddarth Kaul,Sandeep Sharma,Billy Stanlake,Sunrisers Hyderabad,,1
2018,652,2018-04-13,8th Match,Royal Challengers Bangalore,Kings XI Punjab,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bowl,Lokesh Rahul (wk),Mayank Agarwal,Aaron Finch,Yuvraj Singh,Karun Nair,Marcus Stoinis,Axar Patel,Ravichandran Ashwin (c),Andrew Tye,Mohit Sharma,Mujeeb Ur Rahman,Quinton de Kock (wk),Brendon McCullum,Virat Kohli (c),AB de Villiers,Sarfaraz Khan,Mandeep Singh,Chris Woakes,Washington Sundar,Kulwant Khejroliya, Umesh Yadav, Yuzvendra Chahal,Royal Challengers Bangalore,,4
2018,653,2018-04-14,9th Match,Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,Delhi Daredevils,bowl,Suryakumar Yadav,Evin Lewis,Ishan Kishan (wk),Rohit Sharma (c),Kieron Pollard,Krunal Pandya,Hardik Pandya,Akila Dananjaya,Mayank Markande,Jasprit Bumrah, Mustafizur Rahman,Jason Roy,Gautam Gambhir (c),Rishabh Pant (wk),Glenn Maxwell,Shreyas Iyer,Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult,Delhi Daredevils,,7
2018,654,2018-04-14,10th Match,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,Sunrisers Hyderabad,bowl,Robin Uthappa,Chris Lynn,Nitish Rana,Sunil Narine,Dinesh Karthik (c & wk),Andre Russell,Shubman Gill,Shivam Mavi,Mitchell Johnson,Piyush Chawla, Kuldeep Yadav,Wriddhiman Saha (wk),Shikhar Dhawan,Kane Williamson (c),Manish Pandey,Shakib Al Hasan,Deepak Hooda,Yusuf Pathan,Bhuvneshwar Kumar, Rashid Khan, Siddarth Kaul, Billy Stanlake,Sunrisers Hyderabad,,5
