2016,535,2016-04-17,11th Match,Royal Challengers Bangalore,Delhi Daredevils,Bengaluru,M.Chinnaswamy Stadium,Delhi Daredevils,bowl,Chris Gayle,Virat Kohli (c),AB de Villiers,Shane Watson,Sarfaraz Khan,Kedar Jadhav (wk),David Wiese,Parvez Rasool, Harshal Patel, Sreenath Aravind, Yuzvendra Chahal,Quinton de Kock (wk),Shreyas Iyer,Sanju Samson,Karun Nair,Jean-Paul Duminy,Pawan Negi, Carlos Brathwaite, Chris Morris, Zaheer Khan, Mohammed Shami, Amit Mishra,Delhi Daredevils,,7
2016,536,2016-04-18,12th Match,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bowl,Martin Guptill,Parthiv Patel (wk),Ambati Rayudu,Rohit Sharma (c),Jos Buttler,Krunal Pandya,Hardik Pandya,Harbhajan Singh,Tim Southee, Mitchell McClenaghan, Jasprit Bumrah,David Warner (c),Shikhar Dhawan,Moises Henriques,Eoin Morgan,Deepak Hooda,Naman Ojha, Ashish Reddy, Bipul Sharma, Bhuvneshwar Kumar, Mustafizur Rahman, Barinder Sran,Sunrisers Hyderabad,,7
2016,537,2016-04-19,13th Match,Kings XI Punjab,Kolkata Knight Riders,Mohali,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,bowl,Murali Vijay,Manan Vohra,Shaun Marsh,Wriddhiman Saha (wk),David Miller (c),Glenn Maxwell,Axar Patel,Mohit Sharma,Pardeep Sahu,Kyle Abbott,Sandeep Sharma,Robin Uthappa (wk),Gautam Gambhir (c),Manish Pandey,Shakib Al Hasan,Suryakumar Yadav,Yusuf Pathan,Andre Russell, Piyush Chawla, Sunil Narine, Umesh Yadav, Morne Morkel,Kolkata Knight Riders,,6
2016,538,2016-04-20,14th Match,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,Mumbai Indians,bowl,Virat Kohli (c),Lokesh Rahul (wk),AB de Villiers,Shane Watson,Travis Head,Sarfaraz Khan,Stuart Binny,Harshal Patel,Kane Richardson,Iqbal Abdulla, Varun Aaron,Rohit Sharma (c),Parthiv Patel (wk),Ambati Rayudu,Jos Buttler,Kieron Pollard,Hardik Pandya,Krunal Pandya, Harbhajan Singh, Tim Southee, Mitchell McClenaghan, Jasprit Bumrah,Mumbai Indians,,6
2016,539,2016-04-21,15th Match,Gujarat Lions,Sunrisers Hyderabad,Rajkot,Saurashtra Cricket Association Stadium,Sunrisers Hyderabad,bowl,Aaron Finch,Brendon McCullum,Suresh Raina (c),Dinesh Karthik (wk),Dwayne Bravo,Ravindra Jadeja,Akshdeep Nath,Dale Steyn,Praveen Kumar,Dhawal Kulkarni, Pravin Tambe,David Warner (c),Shikhar Dhawan,Moises Henriques, Eoin Morgan, Deepak Hooda, Naman Ojha, Aditya Tare, Bipul Sharma, Bhuvneshwar Kumar, Mustafizur Rahman, Barinder Sran,Sunrisers Hyderabad,,10
2016,540,2016-04-22,16th Match,Rising Pune Supergiant,Royal Challengers Bangalore,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,bowl,Virat Kohli (c),Lokesh Rahul (wk),AB de Villiers,Shane Watson,Sarfaraz Khan,Mandeep Singh, Stuart Binny, Harshal Patel, Kane Richardson, Iqbal Abdulla, Tabraiz Shamsi,Ajinkya Rahane,Faf du Plessis,Kevin Pietersen,Steven Smith,MS Dhoni (c & wk),Thisara Perera,Rajat Bhatia,Ravichandran Ashwin,Ankit Sharma,Murugan Ashwin,Ishant Sharma,Royal Challengers Bangalore,13,
2016,541,2016-04-23,17th Match,Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,Mumbai Indians,bowl,Quinton de Kock (wk),Shreyas Iyer,Sanju Samson,Karun Nair,Jean-Paul Duminy,Pawan Negi,Chris Morris, Amit Mishra, Zaheer Khan, Mohammed Shami, Imran Tahir,Rohit Sharma (c),Parthiv Patel (wk),Ambati Rayudu,Krunal Pandya,Jos Buttler,Kieron Pollard,Hardik Pandya,Harbhajan Singh,Tim Southee,Mitchell McClenaghan, Jasprit Bumrah,Delhi Daredevils,10,
2016,542,2016-04-23,18th Match,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bowl,Murali Vijay,Manan Vohra,Shaun Marsh,David Miller (c),Glenn Maxwell,Nikhil Naik (wk),Axar Patel,Rishi Dhawan,Mohit Sharma, Kyle Abbott, Sandeep Sharma,David Warner (c),Shikhar Dhawan,Aditya Tare,Eoin Morgan,Deepak Hooda,Moises Henriques,Naman Ojha (wk),Bipul Sharma, Bhuvneshwar Kumar, Mustafizur Rahman, Barinder Sran,Sunrisers Hyderabad,,5
2016,543,2016-04-24,19th Match,Gujarat Lions,Royal Challengers Bangalore,Rajkot,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,bat,Virat Kohli (c),Shane Watson,AB de Villiers,Lokesh Rahul (wk),Sarfaraz Khan, Stuart Binny, Kedar Jadhav, Kane Richardson, Iqbal Abdulla, Tabraiz Shamsi, Yuzvendra Chahal,Dwayne Smith,Brendon McCullum,Suresh Raina (c),Dinesh Karthik (wk),Ravindra Jadeja,Dwayne Bravo,Aaron Finch, Praveen Kumar, Dhawal Kulkarni, Shadab Jakati, Pravin Tambe,Gujarat Lions,,6
2016,544,2016-04-24,20th Match,Rising Pune Supergiant,Kolkata Knight Riders,Pune,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,bowl,Ajinkya Rahane,Faf du Plessis,Steven Smith,Thisara Perera,Albie Morkel,MS Dhoni (c & wk),Rajat Bhatia,Saurabh Tiwary, Ravichandran Ashwin, Murugan Ashwin, Ankit Sharma,Robin Uthappa (wk),Gautam Gambhir (c),Suryakumar Yadav,Shakib Al Hasan,Yusuf Pathan,Andre Russell,Rajagopal Sathish,Piyush Chawla,Umesh Yadav,Sunil Narine,Morne Morkel,Kolkata Knight Riders,,2
